"genes" "Transcript.length..including.UTRs.and.CDS."
"914" "Ercc5" 3381
"915" "Sncb" 1304
"916" "ENSMOCG00000000916" 345
"917" "ENSMOCG00000000917" 882
"918" "ENSMOCG00000000918" 750
"919" "ENSMOCG00000000919" 1734
"920" "Rngtt" 1677
"921" "Arfgap1" 2519
"922" "9330159F19Rik" 5147
"923" "Cep76" 1941
"924" "Mical2" 6653
"925" "Mrps35" 1051
"926" "Etfrf1" 524
"927" "ENSMOCG00000000927" 2666
"928" "Sapcd1" 444
"929" "ENSMOCG00000000929" 494
"930" "ENSMOCG00000000930" 798
"931" "Gm17660" 276
"932" "Castor1" 885
"933" "ENSMOCG00000000933" 846
"934" "ENSMOCG00000000934" 657
"935" "Scly" 1293
"936" "Syt14" 2311
"937" "ENSMOCG00000000937" 3735
"938" "Ndufaf5" 1116
"939" "Nxf1" 2286
"940" "Emp1" 691
"941" "Samd12" 486
"942" "Nkrf" 5176
"943" "Rasef" 2824
"944" "Pknox1" 4318
"945" "Vps35l" 3168
"946" "Psmd6" 1332
"947" "Lrrc25" 885
"948" "ENSMOCG00000000948" 2122
"949" "Galnt7" 4148
"950" "Fam162a" 695
"951" "Prps2" 3715
"952" "Gpc1" 3548
"953" "Sfrp4" 2009
"954" "Thy1" 1760
"955" "ENSMOCG00000000955" 4749
"956" "Car1" 991
"957" "Figla" 759
"958" "ENSMOCG00000000958" 2292
"959" "Kcnu1" 3090
"960" "Slc7a7" 2443
"961" "Hs6st1" 3422
"962" "Rfx4" 3922
"963" "Irx5" 2498
"964" "Tmem91" 762
"965" "Sin3b" 4076
"966" "Tspan4" 2820
"967" "Fli1" 3053
"968" "Fos" 2143
"969" "ENSMOCG00000000969" 630
"970" "Nos1" 5989
"971" "2410004B18Rik" 962
"972" "Jmy" 2925
"973" "2310050C09Rik" 795
"974" "Nars" 2713
"975" "ENSMOCG00000000975" 870
"976" "Scn10a" 5880
"977" "Acot5" 1370
"978" "ENSMOCG00000000978" 1436
"979" "Kcne1" 390
"980" "Gcsam" 549
"981" "ENSMOCG00000000981" 324
"982" "ENSMOCG00000000982" 1116
"983" "ENSMOCG00000000983" 768
"984" "Il7r" 1356
"985" "ENSMOCG00000000985" 306
"986" "Tram1l1" 1089
"987" "ENSMOCG00000000987" 2417
"988" "Igsf9" 3997
"989" "Syt7" 4942
"990" "ENSMOCG00000000990" 678
"991" "Sec61a2" 2417
"992" "Gtf2h5" 216
"993" "ENSMOCG00000000993" 222
"994" "ENSMOCG00000000994" 393
"995" "4932438A13Rik" 14901
"996" "Rasip1" 2743
"997" "Polr3c" 1545
"998" "Tubd1" 1789
"999" "ENSMOCG00000000999" 1176
"1000" "ENSMOCG00000001000" 942
"1001" "ENSMOCG00000001001" 906
"1002" "ENSMOCG00000001002" 369
"1003" "Sgsm3" 2872
"1004" "BC024978" 1769
"1005" "Ankrd16" 1591
"1006" "ENSMOCG00000001006" 2869
"1007" "Gpr4" 1092
"1008" "Clstn2" 2898
"1009" "Tmem183a" 1119
"1010" "ENSMOCG00000001010" 1170
"1011" "Prkch" 2052
"1012" "Caps2" 1782
"1013" "Zfp869" 1599
"1014" "Snx27" 5934
"1015" "Rnf224" 471
"1016" "Ankmy1" 2715
"1017" "Casp8" 1660
"1018" "ENSMOCG00000001018" 924
"1019" "Nppa" 836
"1020" "ENSMOCG00000001020" 414
"1021" "Rbx1" 547
"1022" "Ric8b" 2938
"1023" "ENSMOCG00000001023" 210
"1024" "Ccdc192" 837
"1025" "ENSMOCG00000001025" 732
"1026" "Atp6ap1" 2136
"1027" "Ash2l" 2388
"1028" "Mafb" 972
"1029" "Vapa" 1934
"1030" "5S_rRNA" 116
"1031" "Plekhn1" 2716
"1032" "Fahd1" 684
"1033" "Lrpap1" 1463
"1034" "Rhpn1" 2278
"1035" "Tiam1" 279
"1036" "Olfr13" 933
"1037" "Stau2" 419
"1038" "Ndufaf4" 2112
"1039" "Cmtm5" 495
"1040" "ENSMOCG00000001041" 5247
"1041" "Prmt3" 2391
"1042" "ENSMOCG00000001043" 561
"1043" "Gkn3" 567
"1044" "Adgrf2" 2043
"1045" "Gtf3c6" 555
"1046" "Kcne1l" 426
"1047" "Inhba" 1579
"1048" "Tnfrsf11a" 1872
"1049" "Fam122a" 861
"1050" "Atxn7l1" 432
"1051" "ENSMOCG00000001053" 2879
"1052" "Ftmt" 717
"1053" "Ggct" 892
"1054" "Golga1" 4271
"1055" "Ccdc69" 639
"1056" "Ccdc152" 770
"1057" "Gatad2a" 3360
"1058" "Spata25" 675
"1059" "Dtd1" 630
"1060" "Pou3f4" 1086
"1061" "ENSMOCG00000001064" 288
"1062" "Tfeb" 2330
"1063" "I830077J02Rik" 402
"1064" "Cuedc2" 1089
"1065" "Tspan6" 1761
"1066" "Inafm2" 459
"1067" "Cast" 2187
"1068" "Dlg1" 4252
"1069" "Ccdc63" 1683
"1070" "ENSMOCG00000001074" 850
"1071" "Npy1r" 2713
"1072" "ENSMOCG00000001076" 312
"1073" "ENSMOCG00000001077" 204
"1074" "Nkx3-1" 720
"1075" "ENSMOCG00000001079" 240
"1076" "Nsg1" 2553
"1077" "ENSMOCG00000001081" 1519
"1078" "Angpt2" 2499
"1079" "Hoxc13" 1095
"1080" "4930568D16Rik" 1230
"1081" "1700001K19Rik" 780
"1082" "ENSMOCG00000001087" 216
"1083" "Paqr9" 1080
"1084" "ENSMOCG00000001089" 2523
"1085" "Dsp" 9590
"1086" "ENSMOCG00000001091" 2790
"1087" "Abcg1" 3606
"1088" "Ier5" 909
"1089" "Rnf122" 1670
"1090" "Hilpda" 1018
"1091" "ENSMOCG00000001097" 726
"1092" "ENSMOCG00000001098" 168
"1093" "ENSMOCG00000001099" 444
"1094" "Evx1" 1218
"1095" "Stk4" 5072
"1096" "ENSMOCG00000001103" 1222
"1097" "Olfml3" 1697
"1098" "Slc30a4" 2636
"1099" "ENSMOCG00000001106" 837
"1100" "Thop1" 2348
"1101" "Ap3m2" 3452
"1102" "ENSMOCG00000001109" 234
"1103" "ENSMOCG00000001110" 399
"1104" "Katnbl1" 1984
"1105" "Zbtb5" 3813
"1106" "Cnmd" 1397
"1107" "ENSMOCG00000001114" 744
"1108" "Fscn1" 2661
"1109" "Rrp1b" 2211
"1110" "Pkn1" 2977
"1111" "Igsf10" 7773
"1112" "ENSMOCG00000001120" 939
"1113" "Iqca" 2505
"1114" "ENSMOCG00000001122" 951
"1115" "ENSMOCG00000001123" 405
"1116" "ENSMOCG00000001124" 411
"1117" "Med27" 1221
"1118" "Rnf144b" 4452
"1119" "Irx1" 1443
"1120" "ENSMOCG00000001129" 501
"1121" "Ttc39d" 2170
"1122" "Plod3" 2712
"1123" "Sin3a" 5984
"1124" "ENSMOCG00000001133" 1104
"1125" "Mro" 1447
"1126" "Plpp6" 888
"1127" "Marf1" 7634
"1128" "Vmac" 678
"1129" "Tril" 2433
"1130" "ENSMOCG00000001140" 327
"1131" "Prim1" 1431
"1132" "Lpl" 1452
"1133" "Cfl2" 1390
"1134" "Cers2" 2020
"1135" "ENSMOCG00000001145" 354
"1136" "Ist1" 2295
"1137" "Csk" 2787
"1138" "Qpct" 1614
"1139" "Klhl24" 4621
"1140" "ENSMOCG00000001151" 192
"1141" "Pcdhb18" 1587
"1142" "Gp5" 1704
"1143" "ENSMOCG00000001154" 2132
"1144" "Myl7" 582
"1145" "Stard4" 675
"1146" "Sh3bgrl3" 746
"1147" "Ppp1r13l" 2953
"1148" "Lum" 1841
"1149" "Olfr571" 972
"1150" "Dock4" 5907
"1151" "Dennd5a" 4702
"1152" "ENSMOCG00000001163" 979
"1153" "Tor4a" 1272
"1154" "Neurog2" 795
"1155" "Six6" 908
"1156" "Gucy1a2" 1710
"1157" "ENSMOCG00000001169" 762
"1158" "C8b" 2811
"1159" "Epha3" 2955
"1160" "Kirrel3" 2334
"1161" "Slc1a4" 3876
"1162" "F12" 1794
"1163" "ENSMOCG00000001175" 939
"1164" "Grhl2" 3396
"1165" "ENSMOCG00000001177" 1167
"1166" "Frat2" 684
"1167" "Olfr11" 942
"1168" "Maml1" 5283
"1169" "Kcns2" 1873
"1170" "Zar1" 1089
"1171" "Dixdc1" 4245
"1172" "Prss58" 1134
"1173" "ENSMOCG00000001186" 2538
"1174" "ENSMOCG00000001187" 582
"1175" "Rbm46" 1602
"1176" "ENSMOCG00000001189" 648
"1177" "Ints13" 2208
"1178" "Mtf2" 4078
"1179" "ENSMOCG00000001193" 255
"1180" "Popdc3" 1213
"1181" "Aox1" 4002
"1182" "ENSMOCG00000001196" 454
"1183" "Kcnb1" 2763
"1184" "ENSMOCG00000001198" 471
"1185" "Olfr1361" 954
"1186" "Lmf2" 2754
"1187" "Tmem88" 835
"1188" "Ncaph2" 2435
"1189" "Rfesd" 1833
"1190" "Ptrhd1" 850
"1191" "Tmem125" 1380
"1192" "ENSMOCG00000001206" 297
"1193" "Itpr2" 8571
"1194" "ENSMOCG00000001209" 360
"1195" "Ubqln1" 3691
"1196" "ENSMOCG00000001211" 924
"1197" "Nudt17" 882
"1198" "Grxcr1" 879
"1199" "Bccip" 1243
"1200" "ENSMOCG00000001215" 6056
"1201" "Vgll2" 1628
"1202" "ENSMOCG00000001217" 978
"1203" "ENSMOCG00000001218" 315
"1204" "1810010H24Rik" 1538
"1205" "ENSMOCG00000001220" 1088
"1206" "ENSMOCG00000001222" 393
"1207" "C1qtnf12" 978
"1208" "Amer1" 3321
"1209" "Dupd1" 721
"1210" "ENSMOCG00000001226" 333
"1211" "Ralgps1" 6051
"1212" "ENSMOCG00000001228" 531
"1213" "ENSMOCG00000001229" 966
"1214" "Psma1" 1244
"1215" "Has1" 2596
"1216" "ENSMOCG00000001232" 4112
"1217" "Zfp69" 1548
"1218" "Pnma3" 3078
"1219" "Fshr" 3105
"1220" "ENSMOCG00000001236" 441
"1221" "Ntrk1" 2578
"1222" "ENSMOCG00000001238" 927
"1223" "Apln" 3088
"1224" "Gclm" 1717
"1225" "Aip" 1256
"1226" "Ier2" 666
"1227" "Sox15" 693
"1228" "Olfr286" 837
"1229" "Ccr1" 1068
"1230" "Hoxa7" 923
"1231" "Efcab1" 2708
"1232" "ENSMOCG00000001249" 387
"1233" "ENSMOCG00000001250" 393
"1234" "Pcmt1" 2435
"1235" "Trim32" 3125
"1236" "ENSMOCG00000001254" 471
"1237" "Pcdhb1" 2457
"1238" "Scmh1" 3328
"1239" "Abcb8" 2883
"1240" "Arl6ip4" 1209
"1241" "Nfyb" 2514
"1242" "ENSMOCG00000001260" 939
"1243" "Kif20b" 5325
"1244" "Ces2h" 1876
"1245" "Kbtbd13" 1377
"1246" "Gna11" 3075
"1247" "ENSMOCG00000001265" 1707
"1248" "Cript" 1270
"1249" "Slx4ip" 1269
"1250" "Smad7" 2800
"1251" "ENSMOCG00000001270" 162
"1252" "Neurl2" 1503
"1253" "Asb16" 1362
"1254" "Gspt2" 1878
"1255" "Papss2" 1821
"1256" "Hic1" 2169
"1257" "Zfand2b" 1319
"1258" "ENSMOCG00000001277" 297
"1259" "Gnb1l" 1240
"1260" "Dll1" 2820
"1261" "Slpi" 439
"1262" "4930505A04Rik" 878
"1263" "ENSMOCG00000001283" 381
"1264" "Lgr6" 3150
"1265" "4931406P16Rik" 6153
"1266" "Prkag2" 2778
"1267" "Il1f5" 707
"1268" "ENSMOCG00000001288" 882
"1269" "ENSMOCG00000001289" 360
"1270" "ENSMOCG00000001290" 1469
"1271" "Tmem192" 1694
"1272" "Phf21b" 1455
"1273" "ENSMOCG00000001293" 393
"1274" "Polr2j" 604
"1275" "Zdhhc24" 1481
"1276" "ENSMOCG00000001296" 909
"1277" "Taf1" 7318
"1278" "Grhl3" 1806
"1279" "Mstn" 1131
"1280" "Kcnj4" 2193
"1281" "Fgf20" 1448
"1282" "Idh2" 1696
"1283" "Ptges" 908
"1284" "Trex2" 711
"1285" "ENSMOCG00000001306" 291
"1286" "Prlhr" 1113
"1287" "ENSMOCG00000001309" 156
"1288" "ENSMOCG00000001310" 2857
"1289" "Tasor2" 7095
"1290" "ENSMOCG00000001312" 315
"1291" "ENSMOCG00000001313" 1639
"1292" "Mdh1b" 1503
"1293" "ENSMOCG00000001315" 405
"1294" "Ufm1" 1720
"1295" "Polr3gl" 1470
"1296" "ENSMOCG00000001318" 333
"1297" "Fras1" 11823
"1298" "ENSMOCG00000001320" 2608
"1299" "Atf5" 1622
"1300" "Cdk5r2" 1107
"1301" "Acvr2a" 5661
"1302" "Zgpat" 2045
"1303" "Pbx4" 1211
"1304" "Mysm1" 5078
"1305" "Ghrhr" 1489
"1306" "Mecp2" 1822
"1307" "Olfm5" 1407
"1308" "Mcat" 1918
"1309" "Gprin3" 2613
"1310" "ENSMOCG00000001333" 441
"1311" "Gucy2f" 3671
"1312" "Slc43a3" 2457
"1313" "Prkacb" 4264
"1314" "ENSMOCG00000001337" 321
"1315" "Actr10" 1573
"1316" "Gar1" 1171
"1317" "Psma4" 1203
"1318" "ENSMOCG00000001342" 396
"1319" "Scube2" 3246
"1320" "Notch3" 6912
"1321" "Lrrtm3" 1746
"1322" "ENSMOCG00000001346" 1617
"1323" "Hps6" 2421
"1324" "Spin2c" 1330
"1325" "Sem1" 213
"1326" "Myh11" 6294
"1327" "Ticam1" 2181
"1328" "Kif5c" 6839
"1329" "Pabpc2" 1881
"1330" "Trim21" 2362
"1331" "Upk3a" 1037
"1332" "Popdc2" 1092
"1333" "Fam3b" 852
"1334" "Pcgf1" 902
"1335" "Atp2b4" 6780
"1336" "Fam53c" 4209
"1337" "Sdhaf2" 672
"1338" "ENSMOCG00000001364" 972
"1339" "ENSMOCG00000001365" 939
"1340" "ENSMOCG00000001366" 1014
"1341" "Lemd1" 892
"1342" "Pkp2" 2899
"1343" "ENSMOCG00000001369" 1494
"1344" "ENSMOCG00000001370" 372
"1345" "Taar6" 1038
"1346" "Scamp1" 3314
"1347" "Tmx2" 1886
"1348" "Nr4a1" 2455
"1349" "Zfp786" 2584
"1350" "Brd3os" 255
"1351" "Bbof1" 1665
"1352" "Dnase2a" 1760
"1353" "Ldhb" 1377
"1354" "ENSMOCG00000001381" 5310
"1355" "Chdh" 1794
"1356" "Appbp2" 6368
"1357" "S1pr4" 1140
"1358" "Mkrn3" 1641
"1359" "Carhsp1" 729
"1360" "Zbtb45" 1986
"1361" "Tubb4b" 1588
"1362" "Bmyc" 522
"1363" "Mcub" 1038
"1364" "Baz1b" 6472
"1365" "Wdr35" 4533
"1366" "Nudcd1" 2824
"1367" "ENSMOCG00000001396" 873
"1368" "ENSMOCG00000001397" 651
"1369" "Jarid2" 5923
"1370" "Ccdc150" 3291
"1371" "Hpdl" 1116
"1372" "Fut9" 1080
"1373" "Zbtb16" 2022
"1374" "ENSMOCG00000001403" 315
"1375" "Neurod1" 2587
"1376" "Slc26a1" 3610
"1377" "ENSMOCG00000001406" 1476
"1378" "ENSMOCG00000001407" 1929
"1379" "Tbc1d32" 3948
"1380" "ENSMOCG00000001409" 1083
"1381" "Otub1" 1729
"1382" "ENSMOCG00000001411" 736
"1383" "Itgal" 3462
"1384" "ENSMOCG00000001414" 2319
"1385" "ENSMOCG00000001415" 2940
"1386" "Spry1" 942
"1387" "Rad21l" 1638
"1388" "ENSMOCG00000001418" 888
"1389" "Gpr87" 1507
"1390" "Lrtm2" 1978
"1391" "ENSMOCG00000001422" 2716
"1392" "March1" 858
"1393" "Chgb" 1998
"1394" "Spata2l" 2583
"1395" "Zscan29" 2589
"1396" "ENSMOCG00000001427" 411
"1397" "Ube4b" 5615
"1398" "ENSMOCG00000001429" 180
"1399" "ENSMOCG00000001430" 1367
"1400" "Aqr" 4407
"1401" "ENSMOCG00000001432" 3138
"1402" "ENSMOCG00000001433" 813
"1403" "5330417C22Rik" 3495
"1404" "Ctrb1" 882
"1405" "Abraxas2" 2934
"1406" "Wdr54" 1178
"1407" "Matk" 2046
"1408" "Slc2a12" 5044
"1409" "ENSMOCG00000001441" 321
"1410" "Kif1bp" 426
"1411" "Pan3" 5426
"1412" "Prelid3b" 1381
"1413" "Aoah" 1728
"1414" "ENSMOCG00000001446" 1964
"1415" "ENSMOCG00000001447" 540
"1416" "Gabra5" 2710
"1417" "Kcnc3" 2301
"1418" "1700123O20Rik" 417
"1419" "Vasp" 2060
"1420" "ENSMOCG00000001452" 348
"1421" "Lrch3" 3838
"1422" "Lox" 2387
"1423" "Rab6b" 5040
"1424" "Rnf220" 1701
"1425" "ENSMOCG00000001457" 939
"1426" "ENSMOCG00000001459" 1635
"1427" "Crmp1" 3212
"1428" "Papln" 4233
"1429" "ENSMOCG00000001462" 528
"1430" "Inhbc" 1592
"1431" "Psmc3" 1626
"1432" "Atp6v1d" 1410
"1433" "Hist1h2ah" 387
"1434" "ENSMOCG00000001467" 3364
"1435" "ENSMOCG00000001468" 2406
"1436" "Supt3" 948
"1437" "ENSMOCG00000001471" 294
"1438" "Dlc1" 6120
"1439" "ENSMOCG00000001473" 309
"1440" "Uqcrh" 553
"1441" "Hao1" 3059
"1442" "Tshz1" 3345
"1443" "Sh2b2" 2719
"1444" "Qser1" 8963
"1445" "Pik3r6" 2220
"1446" "ENSMOCG00000001480" 555
"1447" "Igf1r" 4122
"1448" "Basp1" 1865
"1449" "Oscp1" 1474
"1450" "ENSMOCG00000001485" 1864
"1451" "ENSMOCG00000001486" 1230
"1452" "ENSMOCG00000001487" 807
"1453" "Ntf3" 1434
"1454" "Pls1" 3525
"1455" "Larp1b" 930
"1456" "ENSMOCG00000001491" 1626
"1457" "ENSMOCG00000001492" 381
"1458" "Psph" 1271
"1459" "Haus2" 2297
"1460" "Snx1" 2088
"1461" "Atp13a1" 3948
"1462" "Tmem121b" 1713
"1463" "Sgta" 1975
"1464" "ENSMOCG00000001499" 387
"1465" "Nsdhl" 2456
"1466" "ENSMOCG00000001502" 297
"1467" "Krt12" 1857
"1468" "Slc4a9" 2949
"1469" "ENSMOCG00000001505" 1683
"1470" "Cdkl4" 2548
"1471" "Mzb1" 597
"1472" "Clec14a" 1440
"1473" "Sox14" 723
"1474" "ENSMOCG00000001510" 665
"1475" "Rbm3" 1337
"1476" "H13" 1603
"1477" "C2cd4c" 1269
"1478" "Acte1" 1119
"1479" "ENSMOCG00000001515" 516
"1480" "Prf1" 1665
"1481" "Cysltr1" 2094
"1482" "Suds3" 891
"1483" "Cbx1" 453
"1484" "Cdkn1c" 1960
"1485" "Mgrn1" 3151
"1486" "Rbm44" 3422
"1487" "ENSMOCG00000001524" 240
"1488" "Cdkl2" 4237
"1489" "Moap1" 1851
"1490" "Atxn1" 3133
"1491" "ENSMOCG00000001528" 261
"1492" "ENSMOCG00000001529" 378
"1493" "Catip" 1540
"1494" "Crisp4" 693
"1495" "Fbrs" 5147
"1496" "Syp" 2399
"1497" "ENSMOCG00000001535" 726
"1498" "ENSMOCG00000001536" 4263
"1499" "ENSMOCG00000001537" 213
"1500" "Spata13" 5227
"1501" "Mybphl" 1266
"1502" "Foxs1" 981
"1503" "ENSMOCG00000001541" 657
"1504" "Mlec" 6013
"1505" "ENSMOCG00000001543" 1663
"1506" "Crispld1" 2259
"1507" "Rpl39l" 156
"1508" "Ube2a" 462
"1509" "Phtf2" 2469
"1510" "Lrp6" 5681
"1511" "1700015G11Rik" 390
"1512" "Fam76b" 3715
"1513" "ENSMOCG00000001552" 294
"1514" "Dynlrb1" 672
"1515" "Pabpc5" 1476
"1516" "Sucnr1" 948
"1517" "ENSMOCG00000001556" 918
"1518" "Olig2" 2382
"1519" "ENSMOCG00000001558" 768
"1520" "ENSMOCG00000001559" 960
"1521" "Pcf11" 5503
"1522" "Prm3" 312
"1523" "ENSMOCG00000001563" 177
"1524" "ENSMOCG00000001564" 480
"1525" "Ccng2" 2233
"1526" "Lrrc36" 2390
"1527" "Ednrb" 1635
"1528" "Fbxo45" 4072
"1529" "Atp1a2" 4970
"1530" "Irx3" 2333
"1531" "Enpp2" 3236
"1532" "Pcdhga10" 2472
"1533" "Mab21l4" 2059
"1534" "ENSMOCG00000001575" 1548
"1535" "Kat6a" 6550
"1536" "Mtch2" 1184
"1537" "Rimbp3" 4785
"1538" "Gmppb" 1539
"1539" "Ttc30b" 1995
"1540" "Fam167b" 813
"1541" "ENSMOCG00000001582" 423
"1542" "Epsti1" 954
"1543" "Tatdn1" 795
"1544" "Btg4" 1114
"1545" "Phox2a" 1614
"1546" "Akap8" 2445
"1547" "Zbed4" 3510
"1548" "Spag17" 6930
"1549" "Plcb4" 5356
"1550" "Bbox1" 1356
"1551" "ENSMOCG00000001593" 207
"1552" "ENSMOCG00000001594" 541
"1553" "Lekr1" 345
"1554" "Fosb" 3705
"1555" "Alg1" 1470
"1556" "ENSMOCG00000001598" 192
"1557" "Ppp2r1b" 3802
"1558" "Tfap2c" 1425
"1559" "ENSMOCG00000001601" 435
"1560" "Eif4ebp1" 1270
"1561" "Igf2" 1295
"1562" "Lao1" 1653
"1563" "Zfp664" 3061
"1564" "ENSMOCG00000001607" 1020
"1565" "ENSMOCG00000001608" 465
"1566" "Trim26" 5712
"1567" "Zfp397" 1735
"1568" "Smarca2" 5769
"1569" "Nfkbiz" 3989
"1570" "ENSMOCG00000001614" 1468
"1571" "Cst10" 680
"1572" "Adamts14" 4178
"1573" "Dnajb7" 933
"1574" "Krtcap2" 1012
"1575" "Gprc6a" 2854
"1576" "Il24" 665
"1577" "Nhlrc4" 420
"1578" "Zmpste24" 2099
"1579" "ENSMOCG00000001623" 906
"1580" "Myo10" 6114
"1581" "ENSMOCG00000001626" 483
"1582" "Arnt" 2960
"1583" "ENSMOCG00000001628" 693
"1584" "Trip13" 2220
"1585" "ENSMOCG00000001630" 2000
"1586" "ENSMOCG00000001631" 939
"1587" "Apoe" 1263
"1588" "Olfr669" 954
"1589" "ENSMOCG00000001635" 510
"1590" "Ptpn1" 1791
"1591" "ENSMOCG00000001637" 1509
"1592" "Ccne2" 1083
"1593" "ENSMOCG00000001639" 1965
"1594" "Kif26a" 6848
"1595" "Phtf1" 3315
"1596" "Nlrx1" 4178
"1597" "Dpysl5" 4956
"1598" "Pex6" 3195
"1599" "Rbm15b" 2664
"1600" "Klc4" 2637
"1601" "ENSMOCG00000001648" 2094
"1602" "ENSMOCG00000001649" 246
"1603" "Wdr27" 2561
"1604" "Cdh12" 4328
"1605" "ENSMOCG00000001652" 939
"1606" "Il18" 585
"1607" "Zmym5" 2604
"1608" "Gnaz" 3364
"1609" "Pcdha3" 2406
"1610" "Gpatch8" 6873
"1611" "Elovl6" 3455
"1612" "Olfr50" 939
"1613" "Pcdhb13" 1737
"1614" "Adgrd1" 2712
"1615" "Notch1" 8226
"1616" "ENSMOCG00000001664" 3249
"1617" "Lrig2" 6068
"1618" "Sema5b" 4207
"1619" "Gm973" 3144
"1620" "ENSMOCG00000001668" 732
"1621" "Grk5" 3123
"1622" "Olfr449" 936
"1623" "Plbd2" 2144
"1624" "Myd88" 1680
"1625" "Abcc1" 4599
"1626" "ENSMOCG00000001675" 822
"1627" "Ddx50" 2547
"1628" "ENSMOCG00000001677" 264
"1629" "Trim42" 2458
"1630" "Olfr656" 966
"1631" "Mid1" 3569
"1632" "Ptprm" 4359
"1633" "Tnfsf10" 537
"1634" "Cubn" 11342
"1635" "Gbp3" 2250
"1636" "N6amt1" 817
"1637" "Rnpepl1" 2803
"1638" "Lsm8" 762
"1639" "Gpr153" 4144
"1640" "Cdk5r1" 924
"1641" "Cd84" 996
"1642" "ENSMOCG00000001692" 381
"1643" "Fam98a" 2787
"1644" "H2-Ke6" 972
"1645" "ENSMOCG00000001696" 375
"1646" "Copa" 3636
"1647" "Rfc3" 748
"1648" "Zbtb39" 3058
"1649" "Fam222a" 2665
"1650" "Prpf6" 3047
"1651" "Lrrn1" 3734
"1652" "ENSMOCG00000001703" 1227
"1653" "Rtp2" 672
"1654" "Htr1f" 1101
"1655" "Tmem39b" 1832
"1656" "Ppp1r18" 1737
"1657" "Zfpm1" 3163
"1658" "Mrps5" 1409
"1659" "Kif7" 4029
"1660" "Tbx22" 1736
"1661" "Sf3b5" 261
"1662" "Usp12" 4000
"1663" "Ms4a13" 1164
"1664" "ENSMOCG00000001716" 1290
"1665" "Kcnh1" 3304
"1666" "Plekhg5" 3581
"1667" "Tmem253" 615
"1668" "Ube2g2" 2017
"1669" "ENSMOCG00000001722" 939
"1670" "Atp12a" 3114
"1671" "ENSMOCG00000001724" 315
"1672" "Nkx6-1" 1779
"1673" "Gja10" 1521
"1674" "Cblif" 1323
"1675" "Tmem259" 1662
"1676" "Olfr38" 954
"1677" "ENSMOCG00000001731" 1428
"1678" "Gpha2" 387
"1679" "Cyp11b2" 1625
"1680" "ENSMOCG00000001734" 1845
"1681" "Tex12" 826
"1682" "Ttc17" 3468
"1683" "Nfasc" 7115
"1684" "Ankrd13d" 2132
"1685" "Grin1" 4321
"1686" "Igf2bp3" 4159
"1687" "Erfe" 1251
"1688" "Olfr156" 945
"1689" "Krtap15" 450
"1690" "ENSMOCG00000001745" 594
"1691" "ENSMOCG00000001746" 939
"1692" "Erich1" 1014
"1693" "ENSMOCG00000001748" 1659
"1694" "Cib3" 572
"1695" "ENSMOCG00000001750" 234
"1696" "Relt" 2030
"1697" "2310011J03Rik" 1154
"1698" "Map3k20" 3336
"1699" "C1ql4" 1232
"1700" "Ikbkb" 2259
"1701" "Frzb" 2018
"1702" "Zfp11" 1950
"1703" "ENSMOCG00000001759" 939
"1704" "ENSMOCG00000001760" 1035
"1705" "Msantd2" 2321
"1706" "ENSMOCG00000001762" 1527
"1707" "Olfr1264" 927
"1708" "Tmem150c" 2475
"1709" "Flcn" 2918
"1710" "Rcor2" 2846
"1711" "Asz1" 1589
"1712" "Pappa2" 6352
"1713" "ENSMOCG00000001769" 1002
"1714" "Slc25a34" 990
"1715" "ENSMOCG00000001771" 249
"1716" "ENSMOCG00000001772" 204
"1717" "Gm156" 768
"1718" "Rdh13" 1629
"1719" "Fancc" 2142
"1720" "ENSMOCG00000001777" 948
"1721" "Rad54l" 2945
"1722" "Olig3" 822
"1723" "Cox15" 2059
"1724" "ENSMOCG00000001781" 7315
"1725" "Grem2" 3606
"1726" "Vps26c" 1190
"1727" "ENSMOCG00000001784" 3684
"1728" "ENSMOCG00000001785" 2040
"1729" "ENSMOCG00000001787" 2175
"1730" "Rgs1" 603
"1731" "Slc7a9" 1317
"1732" "Cryaa" 1163
"1733" "Proser2" 1413
"1734" "Olig1" 798
"1735" "Gtf2a1l" 1407
"1736" "ENSMOCG00000001794" 321
"1737" "ENSMOCG00000001795" 2322
"1738" "Pkp3" 2884
"1739" "ENSMOCG00000001797" 963
"1740" "Trim50" 1456
"1741" "Hpgd" 1563
"1742" "Tef" 4168
"1743" "ENSMOCG00000001801" 210
"1744" "Pmm2" 2030
"1745" "Cacna2d2" 3477
"1746" "ENSMOCG00000001805" 891
"1747" "Snorc" 513
"1748" "Ly6l" 417
"1749" "2810459M11Rik" 870
"1750" "ENSMOCG00000001809" 435
"1751" "ENSMOCG00000001810" 939
"1752" "Senp2" 2820
"1753" "Dennd1b" 696
"1754" "Ccn2" 2338
"1755" "ENSMOCG00000001814" 122
"1756" "Cmtm6" 3478
"1757" "ENSMOCG00000001816" 462
"1758" "Timm9" 1005
"1759" "ENSMOCG00000001818" 483
"1760" "Ncapd3" 4401
"1761" "ENSMOCG00000001820" 276
"1762" "Sigmar1" 1010
"1763" "ENSMOCG00000001822" 948
"1764" "ENSMOCG00000001823" 605
"1765" "Gm22534" 104
"1766" "Setd4" 1314
"1767" "Tmem222" 1492
"1768" "Olr1" 647
"1769" "Fam161b" 1806
"1770" "ENSMOCG00000001829" 3672
"1771" "Zswim5" 5675
"1772" "Cpt1c" 2763
"1773" "Shisal1" 660
"1774" "Cwc27" 2042
